,newstitle,newscomname
0,"[시선집중] ""웃음만 나오는 '충북동지회', 간첩이라면 북한 실력도 형편없는 것""",MBC
1,화이자 접종받은 청도 50대 이상반응 보이다 9일만에 숨져,뉴스1
2,"셀트리온 '코로나 치료제' 효능 확대되나..식약처, 허가변경 심사 착수",뉴스1
3,"[월드피플+] 세계서 가장 작은 212g 조산아, 1년 만에 기적 퇴원",서울신문
4,4단계 한달인데..韓 신규확진 2223명 역대 최다 쏟아졌다,중앙일보
5,"[황출새]최재형 캠프 김영우""文 대통령 부친 농업계장 했다고 친일파로 몰 수 있나?""",YTN
6,"""모더나 맞고 대머리 됐다""..日 여성 ""의료비 만이라도""",이데일리
7,1천500명대→2천200명대 직행..'브레이크 없는 확산세' 비상(종합),연합뉴스
8,"""전두환도 국가장으로 국립묘지에? 법으로 막읍시다""",노컷뉴스
9,카메라 앞에서 급브레이크? 앞으론 '과속 딱지' 폭탄 맞는다,중앙일보
10,"""정확도 95%"" 이제 꿀벌도 코로나 감염자 찾는다",조선일보
11,"[뉴스+]""이게 나라냐"" 임대아파트 교통민원 생기자 출입구 바꾼 LH",이데일리
12,"집값 급등에 ""나도 공인중개사 해볼까?""..접수 이틀만에 시험장 마감 속출 [부동산360]",헤럴드경제
13,"첫 2000명대..""셧다운 아니면 답 없어"" vs ""독감처럼 안고 가야""[촉!]",헤럴드경제
14,"'중국에 땅 팔아' 오해받은 원희룡, 제주지사 7년 난개발과 전쟁",연합뉴스
15,[르포]에어컨 빵빵한 커피숍 사라진 올여름..'탈원전 전조증상',데일리안
16,"[황출새]""최재형, 감사원장 시절 원전 감사결과 왜곡해 문재인 공격 중""",YTN
17,"얼마나 답답했으면..전국 학교장 ""수능 수학 절대평가하자""",매일경제
18,1000m 산 정상 야생 염소 떼 출현..지자체 골머리,매일경제
19,혈소판 수 이미 기준 이하였는데..궁색한 질병청 검사거부 이유,연합뉴스
20,'한국선수단 확진 0' 임무 완수한 숨은 영웅,동아일보
21,"[시선집중] '국정원-日 극우 커넥션 폭로' PD수첩 ""간첩 의혹 덮으려고? 반대라면 모를까..""",MBC
22,"정부 ""신규 확진자 처음으로 2천200명 넘어..새로운 고비로 들어서""(종합)",연합뉴스
23,델타 변이 예방 효과..모더나 76% vs 화이자 42%,머니투데이
24,"김두관 ""'조국 사태'는 이낙연-윤석열 합작품"" VS 李 측 ""금도를 지켜라""",세계일보
25,카메라 앞서만 감속..'고속도로 얌체' 이제 안통한다,뉴시스
26,'눈 먼 돈' 특조금..포상금·해외출장비에 아파트 도색까지 259억 부당집행,뉴스1
27,"[황출새] ""北 김영철·김여정 협박에 정부 '아이고 무서워' 해줘야 도발 안 할듯""",YTN
28,"""파병 보상금 주겠다"" 접근 미 여군 알고 보니 사기꾼",연합뉴스
29,"""모더나 맞고 대머리 됐다"".. 日 20대 여성, 부작용 호소",머니투데이
30,"""건강했던 고3 아들, 백신 접종 9일 만에 급성 백혈병 판정""",머니투데이
31,"국민 10명 중 6명은 ""코로나 통제 불가, 한국 안전하지 않다""",조선비즈
32,화장실서 샤워하고 쓰레기 버리고..오죽하면 폐쇄,SBS
33,[팩트맨]'중문 설치'..복도식 아파트 끝 집의 특권?,채널A
34,더 늙기 전에 단백질 차곡차곡.. '근육 연금' 걱정 던다,서울신문
35,"구청 주차장서 30대 추락사..지자체, 유족에 2억여원 배상",연합뉴스
36,"""출산뒤 무대 못설까봐 막막.. 이젠 '엄마'여서 할 수 있는 감정 찾아""",문화일보
37,'꼭 삭제하라' 경고에도..한국인의 지독한 중국앱 사랑,헤럴드경제
38,"최재형 ""文정부 40% 콘크리트 지지층? 바닥 민심은 글쎄""",이데일리
39,"[2보] 정경심 2심도 징역 4년..""입시비리 전부 유죄""",연합뉴스
40,"이스라엘 신규 확진, 반년 만에 최다..英 전문가 ""집단면역 불가""",YTN
41,"""난 슬퍼질 때마다 야한 상상을 해요"" 관객은 그녀의 용기에 박수를 보냈다",조선일보
42,"[단독]이준석 발언에 尹캠프 발칵..""계속 당하고만 있지 않겠다""",중앙일보
43,"""안전하게 도심에 콕!"" 빌딩숲 속 숨겨진 자연 만끽하며 걷는 '도보 여행' 인기",스포츠조선
44,"[시선집중] 설훈 ""무조건 원팀, 하지만 이재명 '욕설' 들은 사람 설득할 자신 없다""",MBC
45,"9개 업체, 5~10배 저렴한 겨자무 써놓고 와사비로 속여 판매",머니투데이
46,"한국기관 근무 아프간인 수백명 ""탈레반이 쫓고 있다. 도와달라""",연합뉴스
47,"경북지역 전·현직 지방의원 46명 이재명 지지선언..""대부분 무소속""",뉴스1
48,"[속보] ""정경심 딸 서울대 인턴확인서, 조국 가담 판단한 1심 정당""",뉴스1
49,"정청래 ""이준석에 충성하지 않는 윤석열.. '대다나다'""",머니투데이
